expected,real
0.0066877776,0.0023438516
0.01389,-0.0016392827
0.011317777,-0.004913514
0.014918889,-0.009514291
0.022635555,-0.013279559
0.024178889,-0.017720193
0.014404444,-0.021800572
0.028294444,-0.025883993
0.023664445,-0.030748082
0.02778,-0.035131138
0.043727778,-0.044904005
0.030866666,-0.050269686
0.033438887,-0.055367954
0.041155554,-0.05829336
0.024178889,-0.06310353
0.02778,-0.068516895
0.025722222,-0.072838984
0.030352222,-0.07794188
0.037554443,-0.08356414
0.021606667,-0.08759064
0.014404444,-0.09275476
0.029837778,-0.098061845
0.010288889,-0.10276397
0.018005555,-0.10733027
0.024178889,-0.11206967
0.026236666,-0.117329426
0.017491112,-0.12270811
0.008231111,-0.12727037
0.011317777,-0.13134488
-0.11163444,-0.01637594
-0.0926,-0.01424109
-0.09928778,0.42807734
-0.08179667,0.124225944
-0.07408,0.118946575
-0.08694111,0.111965925
-0.074594446,0.10722541
-0.06790667,0.1007704
-0.066877775,0.096714325
-0.039612222,0.09197827
-0.015433333,0.0855479
-0.03446778,-0.099312715
-0.029837778,0.019564513
-0.031895556,-0.14448272
-0.026236666,-0.04654626
0.019034445,-0.04684844
-0.03806889,-0.048024748
-0.014918889,-0.048608076
-0.033953335,-0.04920329
-0.015433333,-0.04498094
-0.050415557,-0.047168832
-0.045785554,-0.050345607
-0.07613778,-0.048456203
-0.06224778,-0.04982887
-0.06379111,-0.049665734
-0.074594446,-0.04885388
-0.07613778,-0.048504904
-0.101345554,-0.049132742
-0.096715555,-0.04715047
-0.096201114,-0.046789512
-0.08694111,-0.046013735
-0.08128222,-0.04517867
-0.066363335,-0.043317106
-0.09517222,-0.04201367
-0.07562333,-0.04090543
-0.06945,-0.038997386
-0.039612222,-0.037176583
-0.04167,-0.035053726
-0.011832222,-0.035109047
-0.020063333,-0.035375953
0.0066877776,-0.033554103
0.02315,-0.031919137
0.015433333,-0.03364284
0.02778,-0.033688802
0.057103332,-0.035318512
0.05556,-0.033429805
0.048357777,-0.0333319
0.059675556,-0.028979069
0.07562333,-0.03505201
0.09465778,-0.033979017
0.05093,-0.03524273
0.07665222,-0.035815515
0.11677889,-0.036956646
0.12295222,-0.038562313
0.047843333,-0.040237706
0.096201114,-0.037729777
0.100831114,-0.04472838
0.10186,-0.04476292
0.060704444,-0.04604557
0.06019,-0.0475132
0.061218888,-0.05013584
0.038583335,-0.04766681
-0.01389,-0.06255268
-0.04887222,-0.062630296
0.019034445,-0.06291907
-0.039612222,-0.062316723
-0.03241,-0.065675825
-0.066877775,-0.066677846
-0.048357777,-0.06630996
-0.08128222,-0.06724995
-0.069964446,-0.06786963
-0.11472111,-0.06822832
-0.10854778,-0.06883236
-0.08951333,-0.06955383
-0.14301555,-0.07014251
-0.15433334,-0.0685026
-0.1852,-0.06800678
-0.14250112,-0.06691612
-0.22069667,-0.066273496
-0.1852,-0.063503504
-0.19497444,-0.06256787
-0.17748334,-0.060454268
-0.18571444,-0.058942128
-0.16410778,-0.05705296
-0.15381889,-0.054664966
-0.14404444,-0.05300417
-0.11523555,-0.051285747
-0.13787112,-0.050852213
-0.096715555,-0.049119778
-0.09825889,-0.048315153
