expected,real
0.06893556,0.06486355
0.08951333,0.06569312
0.02778,0.040232636
-0.14661667,0.039834023
-0.10340333,0.05440196
-0.049386665,0.0551068
-0.08231111,0.061288968
-0.04269889,-0.065454654
-0.0463,0.01276987
-0.10649,0.059407465
-0.015947778,0.05934443
-0.07613778,0.07055305
-0.055045556,0.06975441
-0.05556,0.06737364
0.020577777,0.06747412
-0.045785554,0.069685675
-0.03806889,0.06647956
-0.057103332,0.06650906
0.019034445,0.06338631
-0.0051444443,0.047165774
-0.0015433333,0.06696274
0.042184446,0.064609535
0.0108033335,0.067276135
0.00926,0.066575006
-0.010288889,0.06380714
-0.022635555,0.06339131
-0.03241,0.0602424
0.08025333,0.05686972
0.010288889,0.022118565
-0.028808888,0.06854217
0.052987777,0.06376687
-0.029323334,0.06940011
-0.009774445,0.06810193
0.05916111,0.04214123
0.0015433333,0.0693499
0.04167,0.05785885
0.074594446,0.050617907
0.0025722221,0.063591175
0.00463,0.05793441
0.09517222,-0.036843624
0.010288889,7.337285e-05
0.07768111,0.05098593
0.049901113,0.04256176
-0.04732889,0.044173453
0.020577777,0.042287864
0.021606667,0.049946673
0.012346666,0.051667456
-0.024178889,0.030410757
-0.020577777,0.012218686
-0.030352222,0.04261851
-0.043727778,0.025688114
-0.03446778,0.030091995
-0.04269889,0.042037997
-0.0015433333,0.056557193
-0.04887222,0.040762335
-0.044756666,0.05330847
-0.046814445,0.0534871
-0.060704444,0.04793827
-0.014918889,0.05527355
-0.021606667,0.060801025
-0.020063333,0.061335012
-0.015947778,0.051381104
-0.028808888,0.026587348
0.031895556,0.059333272
-0.0010288889,0.05011029
-0.03138111,0.058658224
-0.0056588887,0.06447383
0.0041155554,0.044885762
-0.04732889,0.04588273
-0.05916111,0.062402748
-0.06482,0.06067017
-0.069964446,0.060518973
-0.02212111,0.062006027
-0.15793444,0.04538367
-0.10546111,0.04957958
-0.08076778,0.06431997
-0.12295222,0.059100125
-0.09928778,0.058821492
-0.074594446,0.07048467
-0.13015445,0.05188167
-0.17594,0.05045489
-0.09723,0.062768735
-0.15793444,0.053243898
-0.12861112,0.04473528
-0.16925222,0.038255524
-0.13015445,0.030342653
-0.09877333,0.05888134
-0.18931556,0.05032621
-0.096201114,0.051959507
-0.08848444,0.044407267
1.7031655,0.035729546
1.61571,0.06558397
1.6558367,0.06614027
1.7016222,0.055366002
1.7335178,-0.0027991883
1.7047089,-0.013783559
1.69442,-0.014086282
0.1852,-0.018711466
1.6697266,-0.004525661
1.7237433,-0.0190721
0.0,-0.039839398
0.0,-0.033876322
0.0,-0.042746294
0.0,-0.035127755
0.0,-0.030226212
0.0,-0.033563994
-0.1,-0.04172664
1.4941033,-0.038357157
-0.1,-0.040058445
-0.1,-0.03734811
-0.1,-0.040515833
-0.1,-0.039681733
-0.1,-0.036400158
-0.2,-0.03144471
-0.2,-0.035316546
-0.2,-0.03383153
-0.1,-0.037114512
-0.1,-0.042088177
-0.1,-0.042207327
-0.1,-0.037151355
-0.1,-0.041148756
-0.3,-0.047292814
-0.3,-0.04492313
