test,training,validation
0.375,0.0,0.125
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
