Lane change left,Lane change none,Lane change right,Lane change left edgar,Lane change none edgar,Lane change right edgar,Lane change left jj,Lane change none jj,Lane change right jj,Lane change left miguel,Lane change none miguel,Lane change right miguel
0,1,0,-16.81894,77.13692,-10.887795,-48.365738,43.69361,-27.562962,-2.837232,4.400632,3.469283
0,1,0,-16.839708,77.243004,-10.916923,-48.20545,43.589203,-27.515715,-2.8165283,4.3708177,3.4479892
0,1,0,-16.865187,77.373146,-10.952662,-48.008778,43.461094,-27.457739,-2.7911255,4.334236,3.421862
0,1,0,-16.887577,77.4875,-10.984065,-47.835976,43.348537,-27.406805,-2.768806,4.302095,3.3989058
0,1,0,-16.907686,77.59021,-11.01227,-47.680756,43.247437,-27.361052,-2.748758,4.273225,3.3782864
0,1,0,-16.930252,77.705475,-11.043922,-47.506584,43.133984,-27.309708,-2.7262602,4.240826,3.3551464
0,1,0,-16.940937,77.760056,-11.058912,-47.424095,43.08025,-27.285395,-2.7156062,4.225484,3.3441887
0,1,0,-16.940964,77.76018,-11.058947,-47.423904,43.080128,-27.28534,-2.7155817,4.225449,3.3441637
0,1,0,-16.965044,77.88319,-11.092722,-47.238052,42.959072,-27.230556,-2.6915758,4.190879,3.319473
0,1,0,-16.98504,77.98533,-11.120772,-47.08369,42.858524,-27.185057,-2.6716385,4.162168,3.2989671
0,1,0,-16.978062,77.94968,-11.110982,-47.137558,42.893612,-27.200933,-2.6785955,4.172187,3.3061228
0,1,0,-16.980799,77.96365,-11.11482,-47.116444,42.879856,-27.19471,-2.6758683,4.1682596,3.303318
0,1,0,-16.988455,78.002754,-11.125558,-47.057354,42.841366,-27.17729,-2.668236,4.157268,3.2954676
0,1,0,-16.991049,78.01599,-11.129195,-47.03734,42.82833,-27.171394,-2.6656508,4.153546,3.292809
0,1,0,-16.98938,78.00748,-11.126857,-47.05021,42.83671,-27.175184,-2.667313,4.1559396,3.2945185
0,1,0,-16.9884,78.00248,-11.125482,-47.057774,42.84164,-27.177416,-2.6682901,4.1573462,3.2955234
0,1,0,-17.00535,78.08905,-11.149257,-46.92694,42.75642,-27.138851,-2.6513915,4.133012,3.278143
0,1,0,-16.999857,78.061005,-11.141554,-46.969334,42.78403,-27.151346,-2.6568668,4.1408963,3.2837744
0,1,0,-17.007008,78.09753,-11.151582,-46.914154,42.74809,-27.135078,-2.6497395,4.1306324,3.2764437
0,1,0,-17.017912,78.15323,-11.166878,-46.82998,42.69326,-27.110268,-2.638867,4.1149755,3.2652612
0,1,0,-17.034552,78.238205,-11.190215,-46.701553,42.60961,-27.072414,-2.6222801,4.0910892,3.2482011
0,1,0,-17.057701,78.356445,-11.222683,-46.52288,42.493225,-27.019745,-2.600508,4.059584,3.2251387
0,1,0,-17.081877,78.47992,-11.256592,-46.33635,42.370983,-26.963358,-2.5784242,4.027548,3.2013912
