Lane change left,Lane change none,Lane change right,Lane change left edgar,Lane change none edgar,Lane change right edgar,Lane change left jj,Lane change none jj,Lane change right jj,Lane change left miguel,Lane change none miguel,Lane change right miguel
0,1,0,-15.259155,69.16996,-8.70001,-69.89825,53.83859,-28.228258,-4.392254,6.6399474,5.0686517
0,1,0,-15.259155,69.16996,-8.70001,-69.89825,53.83859,-28.228258,-4.392254,6.6399474,5.0686517
0,1,0,-15.259155,69.16996,-8.70001,-69.89825,53.83859,-28.228258,-4.392254,6.6399474,5.0686517
0,1,0,-15.259155,69.16996,-8.70001,-69.89825,53.83859,-28.228258,-4.392254,6.6399474,5.0686517
0,1,0,-15.259155,69.16996,-8.70001,-69.89825,53.83859,-28.228258,-4.392254,6.6399474,5.0686517
0,1,0,-15.259155,69.16996,-8.70001,-69.89825,53.83859,-28.228258,-4.392254,6.6399474,5.0686517
0,1,0,-15.259155,69.16996,-8.70001,-69.89825,53.83859,-28.228258,-4.392254,6.6399474,5.0686517
0,1,0,-15.259155,69.16996,-8.70001,-69.89825,53.83859,-28.228258,-4.392254,6.6399474,5.0686517
0,1,0,-15.259155,69.16996,-8.70001,-69.89825,53.83859,-28.228258,-4.392254,6.6399474,5.0686517
0,1,0,-15.259155,69.16996,-8.70001,-69.89825,53.83859,-28.228258,-4.392254,6.6399474,5.0686517
0,1,0,-15.259155,69.16996,-8.70001,-69.89825,53.83859,-28.228258,-4.392254,6.6399474,5.0686517
0,1,0,-15.287302,69.31373,-8.739489,-69.41554,53.632175,-28.246788,-4.3641944,6.5995393,5.0397916
0,1,0,-15.322466,69.49332,-8.788808,-68.8125,53.374306,-28.269936,-4.3291383,6.549057,5.0037365
0,1,0,-15.358044,69.67506,-8.838714,-68.2023,53.113373,-28.293362,-4.293667,6.4979763,4.9672527
0,1,0,-15.394041,69.85892,-8.889202,-67.585,52.8494,-28.317057,-4.2577815,6.4462996,4.930344
0,1,0,-15.429531,70.04019,-8.938983,-66.97632,52.589123,-28.340425,-4.2223983,6.395346,4.8939524
0,1,0,-15.464493,70.21877,-8.98802,-66.37675,52.332737,-28.363438,-4.187545,6.345155,4.8581047
0,1,0,-15.4999695,70.39997,-9.03778,-65.76832,52.07256,-28.386795,-4.1521754,6.294221,4.821727
0,1,0,-15.534718,70.57745,-9.086517,-65.17242,51.817745,-28.409672,-4.117535,6.244337,4.7860985
0,1,0,-15.569059,70.75286,-9.134686,-64.58343,51.565884,-28.43228,-4.0832963,6.195032,4.750883
0,1,0,-15.603716,70.929886,-9.183298,-63.98906,51.311726,-28.455097,-4.048745,6.145276,4.7153463
0,1,0,-15.638296,71.1065,-9.231797,-63.39606,51.058147,-28.477861,-4.0142727,6.0956335,4.679891
0,1,0,-15.672003,71.27866,-9.279075,-62.818,50.81096,-28.50005,-3.9806695,6.0472436,4.6453295
0,1,0,-15.704517,71.44474,-9.324681,-62.260376,50.57251,-28.521458,-3.9482536,6.000563,4.6119895
0,1,0,-15.736597,71.6086,-9.369677,-61.71022,50.337254,-28.542578,-3.9162726,5.9545083,4.579096
0,1,0,-15.769081,71.77451,-9.41524,-61.153107,50.099026,-28.563961,-3.8838868,5.9078712,4.545787
0,1,0,-15.7999325,71.9321,-9.458512,-60.62401,49.872772,-28.58427,-3.8531294,5.8635793,4.5141525
0,1,0,-15.829407,72.08265,-9.499854,-60.118526,49.65662,-28.603676,-3.8237453,5.821264,4.4839296
0,1,0,-15.857983,72.22862,-9.539939,-59.628426,49.44704,-28.62249,-3.7952547,5.7802362,4.454627
0,1,0,-15.886629,72.37492,-9.580117,-59.19825,49.253933,-28.622656,-3.766697,5.7391114,4.425255
0,1,0,-15.913853,72.51398,-9.6182995,-58.847244,49.086456,-28.605127,-3.7395568,5.7000284,4.397341
0,1,0,-15.942961,72.66265,-9.659128,-58.47215,48.90524,-28.584076,-3.7105374,5.6582384,4.367494
0,1,0,-15.968164,72.791374,-9.694476,-58.147514,48.747128,-28.564545,-3.5069573,6.12232,3.3549275
0,1,0,-15.993179,72.91915,-9.729566,-57.82525,48.59016,-28.545153,-3.7943501,6.3937664,3.8545244
0,1,0,-16.018105,73.04647,-9.764529,-57.50415,48.433773,-28.525831,-3.6356218,5.5503564,4.290442
