expected,real
0.0066877776,-0.015062098
0.01389,-0.015062098
0.011317777,-0.015062098
0.014918889,-0.015062098
0.022635555,-0.015062039
0.024178889,-0.015062039
0.014404444,-0.015062098
0.028294444,-0.015062098
0.023664445,-0.015062098
0.02778,-0.015062098
0.043727778,-0.015062158
0.030866666,-0.015062158
0.033438887,-0.015062158
0.041155554,-0.015062158
0.024178889,-0.015062098
0.02778,-0.015062098
0.025722222,-0.015062098
0.030352222,-0.015062158
0.037554443,-0.015062158
0.021606667,-0.015062158
0.014404444,-0.015062158
0.029837778,-0.015062098
0.010288889,-0.015062098
0.018005555,-0.015062098
0.024178889,-0.015062098
0.026236666,-0.015062098
0.017491112,-0.015062098
0.008231111,-0.015062098
0.011317777,-0.015062098
-0.11163444,-0.015373818
-0.0926,-0.015352425
-0.09928778,0.7707951
-0.08179667,-0.015247664
-0.07408,-0.015245162
-0.08694111,-0.015348909
-0.074594446,-0.015338361
-0.06790667,-0.015451226
-0.066877775,-0.015394853
-0.039612222,-0.015424291
-0.015433333,-0.015574578
-0.03446778,-0.015526429
-0.029837778,-0.016016198
-0.031895556,-0.015724923
-0.026236666,-0.021645872
0.019034445,-0.02125731
-0.03806889,-0.021208692
-0.014918889,-0.021632645
-0.033953335,-0.02157557
-0.015433333,-0.015074672
-0.050415557,-0.019472592
-0.045785554,-0.024486247
-0.07613778,-0.02305726
-0.06224778,-0.025909416
-0.06379111,-0.025535347
-0.074594446,-0.024268521
-0.07613778,-0.024583224
-0.101345554,-0.027082924
-0.096715555,-0.02411799
-0.096201114,-0.025746744
-0.08694111,-0.025944738
-0.08128222,-0.025547082
-0.066363335,-0.021228949
-0.09517222,-0.01901047
-0.07562333,-0.019338235
-0.06945,-0.014487873
-0.039612222,-0.010304395
-0.04167,-0.003264367
-0.011832222,-0.009773491
-0.020063333,-0.013489929
0.0066877776,-0.004910679
0.02315,0.0020912744
0.015433333,-0.010941139
0.02778,-0.010982977
0.057103332,-0.018508894
0.05556,-0.004260764
0.048357777,-0.0039983885
0.059675556,0.01767474
0.07562333,-0.01811498
0.09465778,-0.008859175
0.05093,-0.011730919
0.07665222,-0.012872056
0.11677889,-0.014686434
0.12295222,-0.015940698
0.047843333,-0.0167952
0.096201114,-0.008811197
0.100831114,-0.024591148
0.10186,-0.019821204
0.060704444,-0.019091206
0.06019,-0.019844798
0.061218888,-0.021930229
0.038583335,-0.016052607
-0.01389,-0.04941246
-0.04887222,-0.048531715
0.019034445,-0.050856736
-0.039612222,-0.045935478
-0.03241,-0.05777202
-0.066877775,-0.059407543
-0.048357777,-0.059438843
-0.08128222,-0.06294015
-0.069964446,-0.06772763
-0.11472111,-0.07046145
-0.10854778,-0.07836029
-0.08951333,-0.085856155
-0.14301555,-0.090546705
-0.15433334,-0.08933289
-0.1852,-0.09656969
-0.14250112,-0.10226222
-0.22069667,-0.10496943
-0.1852,-0.09784194
-0.19497444,-0.10159702
-0.17748334,-0.092435986
-0.18571444,-0.08661173
-0.16410778,-0.077013046
-0.15381889,-0.06205441
-0.14404444,-0.05487513
-0.11523555,-0.04710141
-0.13787112,-0.047257107
-0.096715555,-0.038747106
-0.09825889,-0.03551099
-0.08642667,-0.0325098
-0.15227556,-0.026861295
-0.13169777,-0.023370968
-0.13992889,-0.019924995
-0.12140889,-0.0153517695
-0.10649,-0.014037712
-0.11677889,-0.012201013
-0.09825889,-0.011139241
-0.069964446,-0.009111402
-0.08179667,-0.008351084
-0.07305111,-0.007810624
0.0,-0.006233861
0.0,-0.007487586
0.0,-0.007151493
0.0,-0.0061804573
0.0,-0.006740539
0.0,-0.0062245033
0.0,-0.0066590034
0.0,-0.0058273124
0.0,-0.006920477
0.0,-0.005990981
0.0,-0.0064380583
0.0,-0.0064357934
0.0,0.00025426224
0.0,0.0004969127
0.0,0.00046293807
0.0,0.0014095781
0.0,0.0014552948
0.0,0.0022366494
0.0,0.0016588442
0.0,0.0017555227
0.0,0.0021868201
0.0,0.0030938773
0.0,0.0034543027
0.0,0.0036176173
0.0,0.0046001235
0.0,0.0057301377
0.0,0.0052564144
0.0,0.0061573093
0.0,0.0068677664
0.0,0.009000226
0.0,0.01446318
0.0,0.010816141
0.0,0.013586627
0.0,0.0140488325
0.0,0.014448341
0.0,0.017268956
0.0,0.020000461
0.07047889,0.021335749
0.08694111,0.019748492
0.07871,0.018996147
0.10700444,0.017808331
0.13324112,0.02454347
0.14661667,0.030134361
0.14353,0.031005802
0.17439666,0.031561993
0.17028111,0.033642128
0.19085889,0.034101002
0.12706777,0.040052213
0.12501,0.02902746
0.14095777,0.019691972
0.11986556,0.046779454
0.10649,0.030928992
0.11163444,0.042328477
0.12038,0.02274936
0.10186,0.01636124
0.10700444,0.018170297
0.109576665,0.029707618
0.09928778,0.032776102
0.09465778,0.0218496
0.10186,0.0138370395
0.10340333,0.009388339
0.113692224,0.0036098093
0.08025333,-0.00095666543
0.10340333,-0.0052091717
0.08025333,-0.008014638
0.10649,-0.0040899995
0.10700444,-0.010345399
0.09568667,-0.011736521
0.08488333,-0.0126296235
0.07408,-0.0134839695
0.07202222,-0.014026746
0.051444445,-0.015572492
0.08848444,-0.014670523
0.06276222,-0.0166187
0.08128222,-0.016613217
0.06430556,-0.017226433
0.04424222,-0.018174743
0.06379111,-0.018301005
0.05658889,-0.01836464
0.06430556,-0.018556263
0.061218888,-0.0182012
0.044756666,-0.018489769
0.047843333,-0.018021252
0.05093,-0.01781765
0.030352222,-0.017654205
0.00463,-0.018299216
0.0030866666,-0.017985085
-0.00463,-0.017529491
0.0108033335,-0.017484741
0.014918889,-0.017163927
0.012346666,-0.01691658
0.03446778,-0.017087536
-0.016976668,-0.018280806
-0.0108033335,-0.016469015
0.009774445,-0.01805766
0.023664445,-0.0155465705
0.015947778,-0.017004233
0.030352222,-0.015598414
0.016976668,-0.01551755
-0.0077166664,-0.014801982
0.0020577777,-0.014962581
0.0056588887,-0.014845484
0.028808888,-0.014127816
0.027265556,-0.014230256
0.022635555,-0.01426911
0.028294444,-0.01456862
0.029837778,-0.014519636
0.0025722221,-0.013278848
0.045785554,-0.014647401
0.025207778,-0.014947147
0.03806889,-0.014694061
0.041155554,-0.0150441015
0.054531112,-0.014390857
0.032924443,-0.015010909
0.040126666,-0.01527448
0.03806889,-0.015656216
0.04424222,-0.01558727
0.05556,-0.015660686
0.021092223,-0.0146127185
0.0463,-0.01607096
0.029323334,-0.015267568
0.041155554,-0.012394818
0.012346666,-0.016184894
0.020063333,-0.013992242
0.03704,-0.016496306
0.028294444,-0.014334781
0.030352222,-0.014928316
0.02675111,-0.014997025
0.035496667,-0.015446995
0.042184446,-0.015466958
0.029323334,-0.0160594
-0.0041155554,-0.015749952
0.035496667,-0.015898986
0.031895556,-0.015728857
0.019034445,-0.015362436
0.033438887,-0.015795538
0.009774445,-0.015895886
0.031895556,-0.015711516
0.018005555,-0.015602466
0.01954889,-0.015643226
0.040126666,-0.015588939
0.043727778,-0.015615576
0.021606667,-0.015622846
0.031895556,-0.015630176
0.015433333,-0.015652463
0.020577777,-0.015612895
0.04269889,-0.015622786
0.020577777,-0.015550861
0.029837778,-0.015530421
0.030352222,-0.015359039
0.003601111,-0.01580394
0.015947778,-0.015677132
0.013375555,-0.015536321
0.021092223,-0.01527454
0.028294444,-0.015493476
-0.00463,-0.015528396
-0.0108033335,-0.015489245
0.012861111,-0.015696738
-0.012346666,-0.015628388
-0.03138111,-0.015502473
0.007202222,-0.01553507
-0.0020577777,-0.015467911
-0.0041155554,-0.015492045
-0.03601111,-0.01575597
-0.03601111,-0.015897973
-0.015947778,-0.015364701
-0.02315,-0.014569872
-0.041155554,-0.015292894
-0.02778,-0.015695903
-0.024693333,-0.016187457
-0.04887222,-0.015564686
-0.06790667,-0.015818242
-0.060704444,-0.016128106
-0.028808888,-0.015964475
-0.061218888,-0.01573982
-0.057617776,-0.015337765
-0.038583335,-0.015360828
-0.043727778,-0.016874094
-0.02315,-0.01578648
-0.012861111,-0.016107548
-0.00051444443,-0.01580513
0.0030866666,-0.015635062
0.0056588887,-0.01627684
0.00926,-0.01594332
0.03241,-0.016117858
0.026236666,-0.01613633
0.015947778,-0.01612167
0.03241,-0.015713423
0.021092223,-0.014785535
0.015433333,-0.01592008
-0.030352222,-0.016014053
0.008231111,-0.016051892
-0.0041155554,-0.015837012
-0.027265556,-0.015361126
-0.03446778,-0.015916564
-0.027265556,-0.014869797
-0.02675111,-0.01610141
-0.04887222,-0.014788514
-0.05350222,-0.016309079
-0.04064111,-0.016303893
-0.014918889,-0.015080214
-0.05195889,-0.015055007
-0.0463,-0.0155270845
-0.031895556,-0.014554735
-0.02675111,-0.0146959685
-0.035496667,-0.0152533855
-0.03241,-0.015114538
-0.031895556,-0.0147148585
-0.025207778,-0.015254398
-0.027265556,-0.015074315
-0.043727778,-0.015519517
-0.02212111,-0.015587032
-0.00926,-0.014934454
-0.031895556,-0.016791387
-0.03138111,-0.014594245
-0.02675111,-0.015422384
-0.03704,-0.016366879
-0.025207778,-0.015101547
-0.016976668,-0.017139317
-0.037554443,-0.017966613
-0.009774445,-0.016485162
-0.027265556,-0.018169738
-0.03601111,-0.017766643
-0.014918889,-0.018453183
-0.0010288889,-0.01840897
-0.012861111,-0.019991606
-0.0066877776,-0.021333389
-0.017491112,-0.020149078
-0.018005555,-0.020107253
-0.028808888,-0.020602422
-0.03704,-0.021246167
-0.060704444,-0.021449683
-0.06019,-0.02280431
-0.08436889,-0.022680992
-0.096201114,-0.023598889
-0.09362889,-0.022887297
-0.11060555,-0.023072032
-0.09774444,-0.026009068
-0.11214889,-0.02575711
-0.12501,-0.027583407
-0.11883666,-0.02892618
-0.113692224,-0.031575087
-0.10391778,-0.03194164
-0.101345554,-0.023237407
-0.10649,-0.031203162
-0.11060555,-0.034162465
-0.09568667,-0.03551105
-0.11883666,-0.039601777
-0.10237444,-0.040974323
-0.08797,-0.043331247
-0.09928778,-0.041637514
-0.05916111,-0.037940234
-0.083854444,-0.03945225
-0.06893556,-0.042937547
-0.07408,-0.03582322
-0.06790667,-0.035005488
-0.058646668,-0.044202633
-0.047843333,-0.0383715
-0.058646668,-0.037251092
-0.033953335,-0.038479626
-0.03806889,-0.043318424
-0.04527111,-0.04179967
-0.040126666,-0.047250878
-0.036525555,-0.049166057
-0.041155554,-0.034693666
-0.03138111,-0.060261685
-0.044756666,-0.034806658
-0.029323334,-0.049372215
-0.04887222,-0.056899954
-0.05658889,-0.033848867
