expected,real
0.0,-0.011304642
0.069964446,0.015267974
0.0,0.011012675
0.07253667,0.03819365
0.09465778,0.006471514
0.09157111,0.071760595
0.104432225,0.122260734
0.11472111,0.10424301
0.10288889,0.13316657
0.14970334,0.18051817
0.16668,0.14121534
0.10751889,0.190267
0.17696889,0.16134919
0.12295222,0.08852189
0.11472111,0.082099244
0.13118333,0.12602547
0.117293335,0.14334917
0.11523555,0.07429155
0.14044334,0.13402344
0.096715555,0.16388614
0.10186,0.12046546
0.08076778,0.105150744
0.109062225,0.12928343
0.10854778,0.10750841
0.08076778,0.12849447
0.08848444,0.10479302
0.12861112,0.11394869
0.09157111,0.09326032
0.10186,0.091332465
0.09157111,0.08324175
0.10649,0.086234994
0.11883666,0.065599605
0.11472111,0.045465097
0.09002778,0.027133806
0.13324112,0.009689832
0.122437775,-0.027561136
0.074594446,-0.044363298
0.09774444,-0.05099468
0.10546111,-0.087065384
0.09723,-0.09278687
0.070993334,-0.09214519
0.079738885,-0.06942121
0.048357777,-0.070681706
0.056074444,-0.14618513
0.038583335,-0.11972041
0.029837778,-0.10810478
0.030352222,-0.12378042
0.050415557,-0.12360913
0.027265556,-0.16042627
0.03241,-0.12011271
0.023664445,-0.133733
0.03446778,-0.12918799
0.043213334,-0.13227502
0.03909778,-0.13896959
0.05093,-0.14730714
0.054531112,-0.14989784
0.04527111,-0.023611804
0.029837778,-0.031904
0.023664445,-0.03608638
0.07716667,-0.05198925
0.06842111,-0.04773161
0.066877775,-0.058788296
0.07202222,-0.06285046
0.12038,-0.07142261
0.028808888,-0.08029643
0.08128222,-0.08332391
0.06945,-0.09077746
0.109062225,-0.098342806
0.10854778,-0.10630646
0.0,-0.19903494
0.0,-0.20255691
0.0,-0.17105326
0.0,-0.19022301
0.08642667,-0.19213264
0.083854444,-0.17662147
0.08694111,-0.19128565
0.09774444,-0.19411588
0.11163444,-0.20454927
0.112663336,-0.2160806
0.12706777,-0.22386593
0.12809667,-0.18883383
0.1389,-0.20811489
0.14455889,-0.09293683
0.07202222,-0.06529526
0.07356556,-0.024163563
0.08694111,0.0045243045
0.09877333,0.014232926
0.08951333,0.058358
0.10854778,0.06363916
0.101345554,0.09347044
0.10546111,0.10641211
0.12089445,0.115006104
0.10751889,0.12644918
0.12809667,0.13118824
0.13169777,0.13215058
0.13221222,0.13284166
0.11832222,0.13317935
0.11214889,0.12218038
0.10391778,0.122979224
0.10340333,0.120947726
0.09774444,0.12877972
0.09054222,0.09927106
0.10391778,0.11692501
0.07819556,0.109793305
0.07356556,0.07736229
0.074594446,0.0706824
0.07202222,0.078865856
0.08128222,0.089272775
0.07665222,0.10889526
0.07716667,0.09044832
0.08951333,0.06661464
0.06945,0.0892889
0.06019,0.0879147
0.054531112,0.035683755
0.07253667,0.07567297
0.06173333,0.08267911
0.05093,0.07738211
0.04064111,0.046289288
0.04887222,0.039631236
0.041155554,0.045427535
0.038583335,0.05463455
0.036525555,0.06496353
0.049386665,0.06825026
0.04887222,0.04656283
0.0463,0.05311745
0.03601111,0.016476912
0.032924443,0.029354049
0.0463,0.060676973
0.027265556,0.05957667
0.03806889,-0.05020692
0.025722222,0.055821385
0.041155554,0.045672406
0.015947778,0.04603878
0.031895556,0.048505805
0.0056588887,0.05194914
0.032924443,0.055364605
0.024178889,0.049669057
0.019034445,0.04558079
0.018005555,0.052335102
0.014404444,0.05892393
0.012861111,0.02417719
0.003601111,0.060456086
-0.0051444443,-0.28018963
-0.022635555,-0.25370547
-0.028808888,-0.28630558
-0.025722222,-0.28024918
-0.03601111,-0.28873673
-0.05093,-0.28956917
-0.06327666,-0.27915946
-0.056074444,-0.27157757
-0.07562333,0.009484536
-0.092085555,-0.011209853
-0.08334,-0.07570537
-0.09157111,-0.011121076
-0.066363335,-0.0033098636
-0.10340333,-0.0075913104
-0.09414333,-0.013049786
-0.087455556,-0.021824313
-0.08334,-0.023677096
-0.08436889,-0.03588465
-0.087455556,-0.03814335
-0.08076778,-0.06496172
-0.08591222,-0.04388272
-0.079224445,-0.04751036
-0.10597555,-0.062441308
-0.08076778,-0.057417233
-0.09311444,-0.059594534
-0.09928778,-0.082327925
-0.104946665,-0.08162802
-0.104946665,-0.07346104
-0.10288889,-0.06898097
-0.096715555,-0.075238734
-0.08951333,-0.07024683
-0.08642667,-0.07352728
-0.07202222,-0.06973564
-0.070993334,-0.06741852
-0.049386665,-0.06414701
-0.034982223,-0.06485508
-0.025207778,-0.06384593
-0.011832222,-0.06620784
0.003601111,-0.06690681
0.00926,-0.06517353
0.019034445,-0.06319521
0.029837778,-0.06221391
0.039612222,-0.07744106
0.052987777,-0.040179335
0.04167,-0.062362418
0.0463,-0.041364346
0.06790667,-0.0058309147
0.057617776,0.010099082
0.071507774,0.009552978
0.08076778,0.019652786
0.09414333,0.026980467
0.08797,0.060497493
0.08951333,0.05298027
0.11317778,0.08491004
0.11060555,0.08681442
0.12861112,0.10219641
0.13632777,0.1076466
0.1352989,0.117963724
0.13015445,0.12043039
0.12655333,0.11979276
0.11883666,0.1287791
0.14867444,0.12452296
0.15381889,0.12513322
0.14198667,0.119567834
0.14867444,0.10709552
0.12809667,0.10184093
0.12295222,0.09528145
0.12861112,0.09309787
0.14353,0.08700984
0.15124667,0.07196799
0.15176111,0.06653919
0.14095777,-0.036512565
0.15381889,-0.009658639
0.13581334,-0.029518945
0.15073222,-0.06707082
0.15587667,-0.032595124
0.15536222,-0.023972016
0.16102111,-0.054221597
0.14250112,-0.19371434
-0.079738885,-0.18887258
-0.079738885,-0.19516274
-0.06533445,-0.22597791
-0.057617776,-0.26795307
-0.07613778,-0.16612332
-0.06224778,-0.09671682
-0.06790667,-0.36654323
-0.07716667,-0.104770206
-0.07202222,-0.231171
-0.07819556,-0.1700055
-0.057103332,-0.119723596
-0.07768111,-0.12604879
-0.07819556,-0.13641228
-0.08899889,-0.14886442
-0.10751889,-0.14702085
-0.117807776,-0.17267384
-0.12964,-0.15907958
-0.11677889,-0.1555477
-0.14507334,-0.18550617
-0.13427,-0.21046373
-0.16873778,-0.1859672
-0.14353,-0.16273291
-0.15484777,-0.16711266
-0.15639111,-0.16779697
-0.16359334,-0.16521844
-0.15073222,-0.19062382
-0.16873778,-0.20358178
-0.18005556,-0.1640248
-0.15793444,-0.16925426
-0.18880111,-0.17402023
-0.15279,-0.17233096
-0.19446,-0.18382408
-0.19497444,-0.19205746
-0.19857556,-0.1826503
-0.18005556,-0.19247144
-0.18983,-0.18494202
-0.16873778,-0.17128186
-0.16256444,-0.17935786
-0.15536222,-0.16725007
-0.13375555,-0.16131312
-0.16462222,-0.15239795
-0.113692224,-0.13618028
-0.12089445,-0.12368382
-0.09825889,-0.107983366
-0.15896334,-0.09448802
-0.14918889,-0.06941161
-0.13169777,-0.042923182
-0.12089445,-0.05434977
-0.12809667,-0.07515942
-0.11060555,-0.09420411
-0.08797,-0.13903262
-0.08848444,-0.16814624
-0.07408,-0.2073978
-0.079224445,-0.23283607
0.0,-0.2603547
0.0,-0.26019162
0.0,-0.25766423
0.0,-0.2587617
0.0,-0.2602739
0.0,-0.25961286
0.0,-0.2605255
0.0,-0.26007336
0.0,-0.2575265
0.0,-0.26056987
0.0,-0.2578635
0.0,-0.25297126
0.0,-0.2575624
0.0,-0.25435683
0.0,-0.2559786
0.0,-0.2477452
-0.07562333,-0.23670843
-0.06893556,-0.23976538
-0.09414333,-0.2446958
-0.09877333,-0.2527126
-0.10546111,-0.24333017
-0.11677889,-0.25630516
-0.11523555,-0.2556506
-0.10546111,-0.2540247
-0.11935111,-0.2458542
-0.104946665,-0.25085565
-0.10288889,-0.24994265
-0.15330444,-0.24594103
-0.09568667,-0.2562956
-0.11523555,-0.23207836
-0.109062225,-0.22876999
