expected,real
0,-4963622.0
1,5594954.0
0,-5333030.5
0,-4333398.5
1,4884409.0
0,-4655721.5
0,-4844264.5
1,5460306.5
0,-5204699.0
0,-4949109.5
1,5578548.0
0,-5317806.0
0,-4789007.5
1,5398054.5
0,-5145663.0
0,-5047092.0
1,5688969.5
0,-5423071.5
0,-4692714.5
1,5289537.5
0,-5042301.5
0,-4508916.0
1,5082244.0
0,-4844299.5
0,-4878310.0
1,5498748.5
0,-5241703.5
0,-4333398.5
1,4884409.0
0,-4655721.5
0,-4988345.5
1,5622832.5
0,-5359615.5
0,-4816977.5
1,5429631.5
0,-5175867.5
0,-5034415.0
1,5674703.0
0,-5409059.0
0,-4707816.5
1,5306523.0
0,-5058390.5
0,-4653758.5
1,5245622.5
0,-5000390.5
0,-4604127.5
1,5189658.0
0,-4947015.5
0,-4328705.5
1,4879116.5
0,-4650677.5
0,-4918278.5
1,5543785.5
0,-5284733.5
0,-4333398.5
1,4884409.0
0,-4655721.5
0,-4334410.5
1,4885552.5
0,-4656812.5
0,-4996126.5
1,5631525.0
0,-5368312.5
0,-5051937.5
1,5694450.5
0,-5428287.5
0,-4508916.0
1,5082244.0
0,-4844299.5
0,-4332781.5
1,4883717.5
0,-4655059.0
0,-4896666.5
1,5519437.5
0,-5261423.0
0,-4998041.5
1,5633706.0
0,-5369997.5
0,-4906999.5
1,5531088.0
0,-5272621.5
0,-4333364.5
1,4884370.5
0,-4655686.5
0,-5038868.5
1,5679713.5
0,-5413848.5
0,-4331655.5
1,4882448.5
0,-4653853.0
0,-4329265.0
1,4879755.5
0,-4651283.0
0,-4332781.5
1,4883717.5
0,-4655059.0
0,-4710950.5
1,5309991.0
0,-5061412.0
