expected,real
0,-85645130000.0
1,94060540000.0
0,-80367530000.0
0,-89050790000.0
1,97802800000.0
0,-83562840000.0
0,-88956980000.0
1,97697550000.0
0,-83473400000.0
0,-73393240000.0
1,80603750000.0
0,-68870430000.0
0,-80266970000.0
1,88153890000.0
0,-75320450000.0
0,-88956980000.0
1,97697550000.0
0,-83473400000.0
0,-81525120000.0
1,89536690000.0
0,-76500615000.0
0,-75540020000.0
1,82961810000.0
0,-70885196000.0
0,-83364676000.0
1,91556000000.0
0,-78225670000.0
0,-81571365000.0
1,89587420000.0
0,-76543840000.0
0,-88162570000.0
1,96827410000.0
0,-82729970000.0
0,-88703520000.0
1,97419990000.0
0,-83233710000.0
0,-88066200000.0
1,96720850000.0
0,-82637595000.0
0,-89050790000.0
1,97802800000.0
0,-83562840000.0
0,-86581130000.0
1,95088460000.0
0,-81241570000.0
0,-81525120000.0
1,89536690000.0
0,-76500615000.0
0,-85558670000.0
1,93965750000.0
0,-80285840000.0
0,-83086470000.0
1,91250975000.0
0,-77964260000.0
0,-73259800000.0
1,80457196000.0
0,-68745300000.0
0,-81147400000.0
1,89122505000.0
0,-76144460000.0
0,-84268780000.0
1,92549170000.0
0,-79075410000.0
0,-73225930000.0
1,80419980000.0
0,-68713468000.0
0,-82957540000.0
1,91108794000.0
0,-77843790000.0
0,-83067560000.0
1,91229480000.0
0,-77949040000.0
0,-82825280000.0
1,90963345000.0
0,-77717970000.0
0,-83016660000.0
1,91174535000.0
0,-77899960000.0
0,-73206730000.0
1,80398880000.0
0,-68695446000.0
0,-84139570000.0
1,92407660000.0
0,-78952770000.0
0,-82284904000.0
1,90370420000.0
0,-77211990000.0
0,-85747450000.0
1,94172610000.0
0,-80462496000.0
0,-80266970000.0
1,88153890000.0
0,-75320450000.0
0,-89395790000.0
1,98179645000.0
0,-83884690000.0
0,-89182350000.0
1,97944960000.0
0,-83685470000.0
