expected,real
0,-206352060.0
1,231352260.0
0,-218881600.0
0,-188028830.0
1,210825200.0
0,-199467900.0
0,-195520160.0
1,219198690.0
0,-207391630.0
0,-193202370.0
1,216651700.0
0,-204976450.0
0,-201139140.0
1,225539070.0
0,-213377700.0
0,-195520160.0
1,219198690.0
0,-207391630.0
0,-178299000.0
1,199943300.0
0,-189156860.0
0,-171935310.0
1,192805120.0
0,-182396290.0
0,-172144980.0
1,193040050.0
0,-182618600.0
0,-207263550.0
1,232419200.0
0,-219894940.0
0,-195971980.0
1,219689310.0
0,-207844580.0
0,-197159780.0
1,221049740.0
0,-209140940.0
0,-193245840.0
1,216648800.0
0,-204978660.0
0,-182483740.0
1,204602700.0
0,-193571650.0
0,-201139140.0
1,225539070.0
0,-213377700.0
0,-172062560.0
1,192947660.0
0,-182531200.0
0,-198698050.0
1,222824560.0
0,-210815180.0
0,-187168420.0
1,209847280.0
0,-198531940.0
0,-195287520.0
1,218989890.0
0,-207189260.0
0,-199351330.0
1,223528200.0
0,-211471550.0
0,-191382030.0
1,214612100.0
0,-203049800.0
0,-179397200.0
1,201174060.0
0,-190323340.0
0,-189462620.0
1,212430980.0
0,-200986160.0
0,-197046350.0
1,220921140.0
0,-209017860.0
0,-199351330.0
1,223528200.0
0,-211471550.0
0,-172062560.0
1,192947660.0
0,-182531200.0
0,-178299000.0
1,199943300.0
0,-189156860.0
0,-200860340.0
1,225194080.0
0,-213050940.0
0,-198834610.0
1,222981120.0
0,-210968830.0
0,-194661970.0
1,218286700.0
0,-206524670.0
0,-195287520.0
1,218989890.0
0,-207189260.0
0,-202242740.0
1,226792480.0
0,-214567200.0
0,-205699380.0
1,230615460.0
0,-218181310.0
