expected,real
-0.11163444,-0.006486966
-0.0926,-0.0064383303
-0.09928778,0.012114797
-0.08179667,-0.009243791
-0.07408,-0.00911905
-0.08694111,-0.00908685
-0.074594446,-0.008955224
-0.06790667,-0.008916723
-0.066877775,-0.008774055
-0.039612222,-0.008696099
-0.015433333,-0.008693744
-0.03446778,-0.0157284
-0.029837778,-0.0076421206
-0.031895556,-0.013996373
-0.026236666,-0.006317993
0.019034445,-0.00630579
-0.03806889,-0.0063280812
-0.014918889,-0.006340925
-0.033953335,-0.006345768
-0.015433333,-0.006166201
-0.050415557,-0.006315982
-0.045785554,-0.00645265
-0.07613778,-0.005349272
-0.06224778,-0.0054033767
-0.06379111,-0.0053682555
-0.074594446,-0.0053191427
-0.07613778,-0.005308444
-0.101345554,-0.0053374856
-0.096715555,-0.005253937
-0.096201114,-0.005260747
-0.08694111,-0.0052425233
-0.08128222,-0.005220306
-0.066363335,-0.005160733
-0.09517222,-0.005140006
-0.07562333,-0.005141556
-0.06945,-0.0051040356
-0.039612222,-0.0050839344
-0.04167,-0.005056353
-0.011832222,-0.005132809
-0.020063333,-0.005186243
0.0066877776,-0.005144372
0.02315,-0.0051305885
0.015433333,-0.0052658874
0.02778,-0.005297805
0.057103332,-0.0053882226
0.05556,-0.005312855
0.048357777,-0.0053603435
0.059675556,-0.0052420762
0.07562333,-0.0056077996
0.09465778,-0.0055614435
0.05093,-0.0056434567
0.07665222,-0.0056997514
0.11677889,-0.0057690996
0.12295222,-0.0058448096
0.047843333,-0.005919298
0.096201114,-0.00583882
0.100831114,-0.0061798203
0.10186,-0.0061279214
0.060704444,-0.00616784
0.06019,-0.006225699
0.061218888,-0.0063204668
0.038583335,-0.0061793732
-0.01389,-0.033437047
-0.04887222,-0.033430915
0.019034445,-0.033450875
-0.039612222,-0.033416297
-0.03241,-0.033578582
-0.066877775,-0.03357876
-0.048357777,-0.033529434
-0.08128222,-0.03354697
-0.069964446,-0.033548888
-0.11472111,-0.033532143
-0.10854778,-0.03353259
-0.08951333,-0.03352482
-0.14301555,-0.03349651
-0.15433334,-0.033390652
-0.1852,-0.033356626
-0.14250112,-0.03329993
-0.22069667,-0.033251405
-0.1852,-0.033133473
-0.19497444,-0.033100206
-0.17748334,-0.033010717
-0.18571444,-0.032954067
-0.16410778,-0.03287857
-0.15381889,-0.03278768
-0.14404444,-0.032738723
-0.11523555,-0.032686982
-0.13787112,-0.032682754
-0.096715555,-0.032620102
-0.09825889,-0.032592833
-0.08642667,-0.03256482
-0.15227556,-0.03251479
-0.13169777,-0.032475445
-0.13992889,-0.032430343
-0.12140889,-0.032367125
-0.10649,-0.03234231
-0.11677889,-0.032298114
-0.09825889,-0.03226516
-0.069964446,-0.03221102
-0.08179667,-0.032183897
-0.07305111,-0.032159187
0.0,-0.0321063
0.0,-0.032139108
0.0,-0.032125503
0.0,-0.032096475
0.0,-0.03211203
0.0,-0.032096814
0.0,-0.032108918
0.0,-0.032085475
0.0,-0.032116733
0.0,-0.032089848
0.0,-0.032103263
0.0,-0.03210292
0.0066877776,-0.00633121
0.01389,-0.006306788
0.011317777,-0.006246471
0.014918889,-0.006248631
0.022635555,-0.006199921
0.024178889,-0.006180327
0.014404444,-0.006138933
0.028294444,-0.0061013536
0.023664445,-0.0060907444
0.02778,-0.0060509895
0.043727778,-0.0062233745
0.030866666,-0.0061258054
0.033438887,-0.006039203
0.041155554,-0.03017372
0.024178889,0.020924836
0.02778,-0.005832174
0.025722222,-0.0057639885
0.030352222,-0.0057377187
0.037554443,-0.005724025
0.021606667,-0.0056328326
0.014404444,-0.0056111524
0.029837778,-0.0055869236
0.010288889,-0.005524996
0.018005555,-0.005468642
0.024178889,-0.0054202294
0.026236666,-0.0053918883
0.017491112,-0.0053605223
0.008231111,-0.0052916063
0.011317777,-0.0052129156
0.06893556,-0.029643849
0.08951333,-0.02970413
0.02778,-0.029846191
-0.14661667,-0.029883709
-0.10340333,-0.029828906
-0.049386665,-0.02981064
-0.08231111,-0.029800722
-0.04269889,-0.037832003
-0.0463,-0.020950545
-0.10649,-0.029830812
-0.015947778,-0.029821016
-0.07613778,-0.02975457
-0.055045556,-0.02976325
-0.05556,-0.029801438
0.020577777,-0.029799666
-0.045785554,-0.029788932
-0.03806889,-0.029850002
-0.057103332,-0.029854678
0.019034445,-0.029885331
-0.0051444443,-0.02998962
-0.0015433333,-0.029901559
0.042184446,-0.029973421
0.0108033335,-0.029979333
0.00926,-0.030044585
-0.010288889,-0.030122433
-0.022635555,-0.030159205
-0.03241,-0.03022175
0.08025333,-0.030253071
0.010288889,-0.030381909
-0.028808888,-0.0302877
0.052987777,-0.030351834
-0.029323334,-0.030363923
-0.009774445,-0.030435607
0.05916111,-0.03057714
0.0015433333,-0.030561956
0.04167,-0.030715099
0.074594446,-0.03081852
0.0025722221,-0.030863151
0.00463,-0.030939804
0.09517222,-0.031120425
0.010288889,-0.031124922
0.07768111,-0.03107526
0.049901113,-0.031153101
-0.04732889,-0.031196704
0.020577777,-0.031214435
0.021606667,-0.03123218
0.012346666,-0.031263188
-0.024178889,-0.03133643
-0.020577777,-0.03136741
-0.030352222,-0.031300686
-0.043727778,-0.03133015
-0.03446778,-0.03133378
-0.04269889,-0.031329002
-0.0015433333,-0.031286396
-0.04887222,-0.031342104
-0.044756666,-0.031309545
-0.046814445,-0.031315263
-0.060704444,-0.031334482
-0.014918889,-0.03131727
-0.021606667,-0.031314697
-0.020063333,-0.031325594
-0.015947778,-0.03136869
-0.028808888,-0.03143355
0.031895556,-0.031365592
-0.0010288889,-0.03143111
-0.03138111,-0.03143257
-0.0056588887,-0.03141887
0.0041155554,-0.0315215
-0.04732889,-0.031572662
-0.05916111,-0.031546403
-0.06482,-0.03157436
-0.069964446,-0.031599533
-0.02212111,-0.03159693
-0.15793444,-0.03165007
-0.10546111,-0.03160172
-0.08076778,-0.031533394
-0.12295222,-0.03154374
-0.09928778,-0.03152586
-0.074594446,-0.031441126
-0.13015445,-0.031513296
-0.17594,-0.031482972
-0.09723,-0.031391066
-0.15793444,-0.031401306
-0.12861112,-0.031374227
-0.16925222,-0.031341717
-0.13015445,-0.03128464
-0.09877333,-0.031178677
-0.18931556,-0.031187609
-0.096201114,-0.031125443
-0.08848444,-0.031123389
1.7031655,-0.031132365
1.61571,-0.031714812
1.6558367,-0.03226906
1.7016222,-0.032841697
1.7335178,-0.03347134
1.7047089,-0.034092188
1.69442,-0.03467409
0.1852,-0.035266772
1.6697266,-0.035304993
1.7237433,-0.035924613
0.0,-0.03660131
0.0,-0.036581576
0.0,-0.03664872
0.0,-0.03661951
0.0,-0.0366214
0.0,-0.03666125
-0.1,-0.036731116
1.4941033,-0.036694895
-0.1,-0.037223134
-0.1,-0.037194595
-0.1,-0.037204355
-0.1,-0.03718641
-0.1,-0.03715574
-0.2,-0.037123524
-0.2,-0.03710107
-0.2,-0.037051905
-0.1,-0.03702619
-0.1,-0.0370454
-0.1,-0.037031293
-0.1,-0.036986623
-0.1,-0.03699829
-0.3,-0.037028674
-0.3,-0.036922544
-0.2,-0.036863394
-0.3,-0.036785744
-0.3,-0.03672182
-0.3,-0.03665046
-0.3,-0.03656296
-0.4,-0.03645943
-0.4,-0.03635843
-1.4115944,-0.036246687
-1.2368022,-0.035792418
-1.3011078,-0.03538759
-1.2131377,-0.034925062
-1.2247722,-0.034550574
-1.2355756,-0.03418487
-1.1033633,-0.03370358
-1.2119111,-0.033382434
-1.1633556,-0.032980233
-1.1973089,-0.032581087
-0.19291666,-0.032168493
-0.17285334,-0.032161925
-0.12295222,-0.032114115
-0.20680666,-0.03207748
-0.07665222,-0.032038823
-0.06430556,-0.032012116
-0.22687,-0.03198526
-0.12295222,-0.031940736
-0.09157111,-0.031918693
-0.0463,-0.03196228
-0.08797,-0.031952064
