expected,real
-0.11163444,0.112788625
-0.0926,0.12200015
-0.09928778,0.13344929
-0.08179667,-0.07161941
-0.07408,-0.06874506
-0.08694111,-0.07543212
-0.074594446,-0.07120449
-0.06790667,-0.07704805
-0.066877775,-0.069494404
-0.039612222,-0.068531215
-0.015433333,-0.07632878
-0.03446778,-0.022205591
-0.029837778,-0.07733471
-0.031895556,0.018127616
-0.026236666,-0.030468626
0.019034445,-0.009200745
-0.03806889,-0.0027966725
-0.014918889,-0.002432401
-0.033953335,0.0066725067
-0.015433333,0.07861192
-0.050415557,0.043786794
-0.045785554,-0.046333507
-0.07613778,-0.011303003
-0.06224778,-0.06415306
-0.06379111,-0.03376992
-0.074594446,0.0050752023
-0.07613778,0.010007271
-0.101345554,-0.018800741
-0.096715555,0.03333433
-0.096201114,0.021507477
-0.08694111,0.02561706
-0.08128222,0.033677086
-0.066363335,0.064555466
-0.09517222,0.074045226
-0.07562333,0.06933956
-0.06945,0.08503188
-0.039612222,0.09341448
-0.04167,0.10586031
-0.011832222,0.0869973
-0.020063333,0.07367234
0.0066877776,0.096407525
0.02315,0.10831493
0.015433333,0.07661515
0.02778,0.07702801
0.057103332,0.047595676
0.05556,0.09924424
0.048357777,0.09996302
0.059675556,0.12805213
0.07562333,0.04598186
0.09465778,0.08814313
0.05093,0.0815743
0.07665222,0.07853482
0.11677889,0.07324439
0.12295222,0.07045889
0.047843333,0.068398476
0.096201114,0.09786634
0.100831114,-0.017713184
0.10186,0.049323764
0.060704444,0.055972517
0.06019,0.048663087
0.061218888,0.020107688
0.038583335,0.07860679
-0.01389,-0.12470048
-0.04887222,-0.116987854
0.019034445,-0.12259638
-0.039612222,-0.10975557
-0.03241,-0.20374435
-0.066877775,-0.20361324
-0.048357777,-0.1580813
-0.08128222,-0.18167128
-0.069964446,-0.2129211
-0.11472111,-0.20745157
-0.10854778,-0.27303395
-0.08951333,-0.31599447
-0.14301555,-0.31713822
-0.15433334,-0.21480587
-0.1852,-0.2435667
-0.14250112,-0.24817161
-0.22069667,-0.23896189
-0.1852,-0.16614449
-0.19497444,-0.18819642
-0.17748334,-0.15597446
-0.18571444,-0.1496864
-0.16410778,-0.14086977
-0.15381889,-0.11928409
-0.14404444,-0.11831266
-0.11523555,-0.11207051
-0.13787112,-0.121579245
-0.096715555,-0.111183666
-0.09825889,-0.10955755
-0.08642667,-0.10838806
-0.15227556,-0.097134195
-0.13169777,-0.09869371
-0.13992889,-0.097310446
-0.12140889,-0.08563669
-0.10649,-0.091389015
-0.11677889,-0.08624459
-0.09825889,-0.08497118
-0.069964446,-0.060686402
-0.08179667,-0.048049107
-0.07305111,-0.031470794
0.0,-0.00825741
0.0,-0.007532633
0.0,-0.009275781
0.0,-0.0076193972
0.0,-0.009404799
0.0,-0.007748985
0.0,-0.009231156
0.0,-0.005854629
0.0,-0.009582807
0.0,-0.0066296975
