expected,real
0,-37664.367
1,38251.15
0,-36598.63
0,-37925.77
1,38516.625
0,-36851.832
0,-37307.855
1,37889.406
0,-36252.184
0,-35561.566
1,36120.457
0,-34564.004
0,-36677.16
1,37249.24
0,-35640.098
0,-32390.387
1,32899.855
0,-31482.428
0,-37754.844
1,38348.25
0,-36696.074
0,-36403.94
1,36972.465
0,-35375.06
0,-36566.57
1,37133.473
0,-35527.688
0,-32390.387
1,32899.855
0,-31482.428
0,-36118.3
1,36685.676
0,-35104.758
0,-35138.535
1,35685.6
0,-34143.574
0,-36122.918
1,36686.297
0,-35101.332
0,-36250.95
1,36821.03
0,-35234.25
0,-36904.92
1,37480.176
0,-35860.72
0,-35749.887
1,36311.93
0,-34747.51
0,-36301.285
1,36871.77
0,-35282.61
0,-34218.105
1,34734.902
0,-33226.027
0,-35164.29
1,35716.92
0,-34177.97
0,-32390.387
1,32899.855
0,-31482.428
0,-37791.824
1,38385.81
0,-36732.266
0,-36157.004
1,36724.645
0,-35142.605
0,-36024.027
1,36586.03
0,-35005.3
0,-37245.98
1,37831.152
0,-36201.65
0,-37119.9
1,37697.434
0,-36068.31
0,-36834.773
1,37414.457
0,-35803.53
0,-35164.29
1,35716.92
0,-34177.97
0,-34218.105
1,34734.902
0,-33226.027
0,-32399.596
1,32909.14
0,-31491.475
0,-36566.57
1,37133.473
0,-35527.688
0,-36566.57
1,37133.473
0,-35527.688
0,-32417.016
1,32926.92
0,-31508.402
0,-34640.62
1,35181.03
0,-33660.832
