expected,real
0,-3540044.8
1,2666153.8
0,-3231620.5
0,-3597160.5
1,2709302.5
0,-3283773.5
0,-3610130.5
1,2719039.2
0,-3295486.5
0,-3526995.5
1,2656329.8
0,-3219700.5
0,-3238401.0
1,2438974.5
0,-2956256.0
0,-3355090.5
1,2526941.8
0,-3062649.0
0,-3474346.5
1,2616677.0
0,-3171670.2
0,-3439359.5
1,2590318.2
0,-3139730.0
0,-3527830.0
1,2657123.0
0,-3220343.2
0,-3579694.5
1,2696128.8
0,-3267696.5
0,-3436927.2
1,2588615.0
0,-3137365.5
0,-3540849.5
1,2666882.5
0,-3232255.0
0,-3470308.8
1,2613740.0
0,-3167823.0
0,-3540921.0
1,2666928.8
0,-3232294.0
0,-3103184.0
1,2337162.5
0,-2832751.5
0,-3445084.5
1,2594632.5
0,-3144955.5
0,-3557605.8
1,2679472.2
0,-3247515.0
0,-3612020.2
1,2720460.5
0,-3297214.0
0,-3233073.5
1,2434966.0
0,-2951389.0
0,-3438768.8
1,2589883.8
0,-3139157.5
0,-3463211.0
1,2608408.8
0,-3161360.0
0,-3457028.2
1,2603616.5
0,-3155879.2
0,-3310713.0
1,2493564.5
0,-3022088.5
0,-3331472.0
1,2509081.5
0,-3041196.8
0,-3576605.8
1,2693701.0
0,-3264984.5
0,-3233073.5
1,2434966.0
0,-2951389.0
0,-3445084.5
1,2594632.5
0,-3144955.5
0,-3310713.0
1,2493564.5
0,-3022088.5
0,-3497756.5
1,2634417.5
0,-3192886.5
0,-3449297.0
1,2597906.8
0,-3148635.8
0,-3439868.8
1,2590715.0
0,-3140158.5
0,-3540044.8
1,2666153.8
0,-3231620.5
0,-3475834.0
1,2617781.8
0,-3173020.5
