expected,real
0,-12491107.0
1,19528306.0
0,-13776777.0
0,-12359571.0
1,19322706.0
0,-13631766.0
0,-12050456.0
1,18839312.0
0,-13290771.0
0,-12627870.0
1,19742262.0
0,-13927768.0
0,-12611266.0
1,19716338.0
0,-13909491.0
0,-12049029.0
1,18837064.0
0,-13289177.0
0,-12086421.0
1,18895660.0
0,-13330514.0
0,-12557606.0
1,19632348.0
0,-13850243.0
0,-12386719.0
1,19365154.0
0,-13661717.0
0,-12757911.0
1,19945440.0
0,-14071057.0
0,-11878031.0
1,18569966.0
0,-13100795.0
0,-13077497.0
1,20445202.0
0,-14423643.0
0,-12595931.0
1,19692220.0
0,-13892455.0
0,-12756265.0
1,19942878.0
0,-14069255.0
0,-12510810.0
1,19559108.0
0,-13798507.0
0,-12477648.0
1,19507312.0
0,-13762004.0
0,-12310609.0
1,19246128.0
0,-13577731.0
0,-13395529.0
1,20942600.0
0,-14774606.0
0,-11525159.0
1,18018080.0
0,-12711426.0
0,-12756265.0
1,19942878.0
0,-14069255.0
0,-12935220.0
1,20222986.0
0,-14266945.0
0,-12509794.0
1,19557672.0
0,-13797571.0
0,-12310609.0
1,19246128.0
0,-13577731.0
0,-12794111.0
1,20002030.0
0,-14110973.0
0,-13177119.0
1,20600958.0
0,-14533575.0
0,-13127158.0
1,20522760.0
0,-14478379.0
0,-12050456.0
1,18839312.0
0,-13290771.0
0,-12777297.0
1,19975728.0
0,-14092445.0
0,-13304319.0
1,20799996.0
0,-14674003.0
0,-13036514.0
1,20381258.0
0,-14378631.0
0,-13184849.0
1,20613024.0
0,-14542068.0
0,-13188149.0
1,20618134.0
0,-14545651.0
0,-11848721.0
1,18524052.0
0,-13068343.0
