expected,real
0,-184720.55
1,217027.77
0,-201745.42
0,-207118.06
1,243439.75
0,-226253.98
0,-210445.62
1,247285.12
0,-229872.38
0,-218083.92
1,256306.94
0,-238240.94
0,-209620.97
1,246316.48
0,-228965.42
0,-207626.81
1,243965.16
0,-226785.31
0,-204287.31
1,240040.48
0,-223136.75
0,-209704.0
1,246415.62
0,-229056.88
0,-214626.12
1,252208.47
0,-234438.1
0,-208369.05
1,244832.06
0,-227594.03
0,-192978.48
1,226753.5
0,-210776.31
0,-184954.89
1,217303.53
0,-202001.53
0,-192984.62
1,226763.16
0,-210784.31
0,-207272.06
1,243569.89
0,-226408.16
0,-203279.69
1,238863.39
0,-222041.19
0,-208369.05
1,244832.06
0,-227594.03
0,-204943.22
1,240859.78
0,-223866.06
0,-212956.12
1,250243.47
0,-232611.48
0,-198183.22
1,232871.1
0,-216468.5
0,-205405.03
1,241404.36
0,-224371.0
0,-205187.6
1,241168.03
0,-224140.19
0,-201686.66
1,237028.06
0,-220306.4
0,-185431.25
1,217867.03
0,-202524.28
0,-214626.12
1,252208.47
0,-234438.1
0,-210445.62
1,247285.12
0,-229872.38
0,-209240.66
1,245880.88
0,-228555.44
0,-204817.94
1,240719.17
0,-223733.1
0,-206276.78
1,242373.06
0,-225309.72
0,-210912.44
1,247847.47
0,-230384.34
0,-208369.05
1,244832.06
0,-227594.03
0,-215595.53
1,253392.14
0,-235509.12
0,-205187.6
1,241168.03
0,-224140.19
0,-193121.83
1,226926.77
0,-210935.23
