expected,real
0.0066877776,-0.06323951
0.01389,-0.07044184
0.011317777,-0.06384676
0.014918889,-0.08012829
0.022635555,-0.07835302
0.024178889,-0.08622718
0.014404444,-0.0862365
0.028294444,-0.0888456
0.023664445,-0.100050144
0.02778,-0.10167703
0.043727778,-0.18664616
0.030866666,-0.17206992
0.033438887,-0.16131352
0.041155554,-0.11962244
0.024178889,-0.12040572
0.02778,-0.13462438
0.025722222,-0.12657231
0.030352222,-0.1344449
0.037554443,-0.14744537
0.021606667,-0.12953515
0.014404444,-0.13962767
0.029837778,-0.15080582
0.010288889,-0.14552721
0.018005555,-0.14470166
0.024178889,-0.14564285
0.026236666,-0.15366824
0.017491112,-0.16092603
0.008231111,-0.15493362
0.011317777,-0.14568129
-0.11163444,0.051184986
-0.0926,0.062042147
-0.09928778,0.8045694
-0.08179667,-0.011660032
-0.07408,-0.013081343
-0.08694111,-0.021992752
-0.074594446,-0.021292405
-0.06790667,-0.029581606
-0.066877775,-0.023744822
-0.039612222,-0.024073644
-0.015433333,-0.035429575
-0.03446778,0.24774075
-0.029837778,-0.036492933
-0.031895556,0.31172708
-0.026236666,-0.021481005
0.019034445,-0.011422225
-0.03806889,-0.009530374
-0.014918889,-0.009538979
-0.033953335,-0.00510161
-0.015433333,0.06807931
-0.050415557,0.024027996
-0.045785554,-0.0282113
-0.07613778,-0.029476225
-0.06224778,-0.05035358
-0.06379111,-0.038408265
-0.074594446,-0.020190826
-0.07613778,-0.0165982
-0.101345554,-0.029170692
-0.096715555,-0.001275885
-0.096201114,-0.0064988784
-0.08694111,-0.0028024353
-0.08128222,0.0029681458
-0.066363335,0.025326401
-0.09517222,0.034903236
-0.07562333,0.03248928
-0.06945,0.04904618
-0.039612222,0.060668167
-0.04167,0.08062375
-0.011832222,0.057478193
-0.020063333,0.045227762
0.0066877776,0.07110486
0.02315,0.09147036
0.015433333,0.052543063
0.02778,0.05354788
0.057103332,0.030325782
0.05556,0.08097841
0.048357777,0.08444396
0.059675556,0.14999364
0.07562333,0.034149032
0.09465778,0.07419298
0.05093,0.06627217
0.07665222,0.06319622
0.11677889,0.057112418
0.12295222,0.053385742
0.047843333,0.050341904
0.096201114,0.09744052
0.100831114,-0.00871755
0.10186,0.028990673
0.060704444,0.033966422
0.06019,0.025850667
0.061218888,0.0018116623
0.038583335,0.06310076
-0.01389,-0.103104346
-0.04887222,-0.09708198
0.019034445,-0.101248786
-0.039612222,-0.082024075
-0.03241,-0.12569045
-0.066877775,-0.1266094
-0.048357777,-0.1174683
-0.08128222,-0.12316242
-0.069964446,-0.12833413
-0.11472111,-0.12767254
-0.10854778,-0.13599068
-0.08951333,-0.14184888
-0.14301555,-0.1424881
-0.15433334,-0.12799926
-0.1852,-0.13131851
-0.14250112,-0.13177235
-0.22069667,-0.13111167
-0.1852,-0.119242705
-0.19497444,-0.12591791
-0.17748334,-0.119095646
-0.18571444,-0.11840567
-0.16410778,-0.11474303
-0.15381889,-0.10175867
-0.14404444,-0.09972273
-0.11523555,-0.09504211
-0.13787112,-0.10394636
-0.096715555,-0.09502629
-0.09825889,-0.09399881
-0.08642667,-0.093055695
-0.15227556,-0.081383124
-0.13169777,-0.08024986
-0.13992889,-0.07525101
-0.12140889,-0.061330065
-0.10649,-0.061709188
-0.11677889,-0.05574875
-0.09825889,-0.05497556
-0.069964446,-0.041984685
-0.08179667,-0.037984703
-0.07305111,-0.036586266
0.0,-0.019663714
0.0,-0.036881607
0.0,-0.03167844
0.0,-0.01766449
0.0,-0.025642792
0.0,-0.018139057
0.0,-0.024340382
0.0,-0.012287754
0.0,-0.028079825
0.0,-0.01463318
0.0,-0.021234399
0.0,-0.02114541
