expected,real
0,-249.9497
1,216.95224
0,42.340813
0,-250.29518
1,217.25987
0,42.41832
0,-250.28702
1,217.24405
0,42.406704
0,-249.59709
1,216.66556
0,42.320053
0,-249.16281
1,216.302
0,42.258377
0,-248.6203
1,215.82715
0,42.156654
0,-247.44028
1,214.7844
0,41.93377
0,-247.40222
1,214.74615
0,41.9253
0,-246.91602
1,214.34348
0,41.871567
0,-245.63419
1,213.2127
0,41.622406
0,-244.94763
1,212.61482
0,41.49697
0,-243.4204
1,211.33362
0,41.296585
0,-242.64987
1,210.61002
0,41.09804
0,-241.32428
1,209.44658
0,40.855373
0,-240.23798
1,208.49864
0,40.648438
0,-238.9169
1,207.35681
0,40.41958
0,-237.89206
1,206.48007
0,40.268356
0,-236.81018
1,205.5392
0,40.085182
0,-236.04776
1,204.85625
0,39.912453
0,-234.47842
1,203.50668
0,39.65829
0,-233.3833
1,202.57382
0,39.49855
0,-231.72652
1,201.14029
0,39.208126
0,-230.15364
1,199.77927
0,38.94861
0,-228.71832
1,198.57852
0,38.77114
0,-227.54233
1,197.51407
0,38.50473
0,-225.94437
1,196.18097
0,38.314995
0,-224.988
1,195.29973
0,38.09101
0,-223.81836
1,194.28015
0,37.88201
0,-222.26329
1,192.94904
0,37.637592
0,-221.93185
1,192.67209
0,37.601753
0,-220.46863
1,191.3617
0,37.290165
0,-218.90631
1,190.08218
0,37.132668
0,-217.39215
1,188.73547
0,36.835335
0,-215.9747
1,187.47559
0,36.539803
0,-215.05643
1,186.63458
0,36.32065
0,-213.95526
1,185.72632
0,36.194572
0,-214.77997
1,186.41977
0,36.31504
0,-213.9278
1,185.69739
0,36.19303
0,-213.08958
1,184.93713
0,36.002594
0,-213.3323
1,185.12585
0,36.014687
0,-211.7864
1,183.75967
0,35.715126
0,-211.1904
1,183.27267
0,35.665466
0,-210.10756
1,182.34915
0,35.49756
0,-208.56836
1,181.02536
0,35.26126
0,-208.30923
1,180.79675
0,35.21305
0,-207.603
1,180.17252
0,35.075798
0,-208.91144
1,181.30174
0,35.291718
0,-208.54672
1,180.97406
0,35.217064
0,-207.82791
1,180.3736
0,35.114708
0,-208.08868
1,180.63135
0,35.206425
0,-207.01968
1,179.7189
0,35.051807
0,-206.70248
1,179.43285
0,34.982063
0,-206.51129
1,179.21667
0,34.873154
0,-205.45444
1,178.2905
0,34.686203
0,-206.23978
1,179.00163
0,34.86649
0,-205.8747
1,178.66794
0,34.758835
0,-207.95602
1,180.4591
0,35.09571
0,-207.18396
1,179.82932
0,35.015038
0,-208.2678
1,180.74487
0,35.175728
0,-208.15984
1,180.61476
0,35.104286
0,-208.371
1,180.80342
0,35.13806
0,-208.19516
1,180.61554
0,35.069374
0,-208.60114
1,180.99757
0,35.172386
0,-207.2677
1,179.81795
0,34.912323
0,-208.85115
1,181.15009
0,35.129143
0,-209.05853
1,181.4031
0,35.276245
0,-210.04868
1,182.22476
0,35.405388
0,-208.65662
1,180.99661
0,35.14336
0,-209.32016
1,181.54858
0,35.21786
0,-209.75513
1,181.97266
0,35.361626
0,-210.12268
1,182.34756
0,35.502117
0,-209.77216
1,181.98868
0,35.371986
0,-210.69595
1,182.79044
0,35.514
0,-209.98065
1,182.18054
0,35.415024
0,-210.792
1,182.89908
0,35.567497
0,-211.54956
1,183.54141
0,35.675285
0,-211.46414
1,183.47568
0,35.680885
0,-210.6095
1,182.74075
0,35.54516
0,-210.84842
1,182.9555
0,35.59091
0,-211.71503
1,183.689
0,35.722355
0,-212.45757
1,184.33774
0,35.857147
0,-212.50787
1,184.40591
0,35.89468
0,-212.85403
1,184.65942
0,35.89644
0,-212.6394
1,184.50253
0,35.89638
0,-213.31418
1,185.0621
0,35.971603
0,-214.07272
1,185.73502
0,36.164474
0,-214.3896
1,186.0295
0,36.20008
0,-214.51315
1,186.10904
0,36.196648
0,-213.7177
1,185.40652
0,36.034363
0,-214.94461
1,186.47586
0,36.26124
0,-215.33807
1,186.8399
0,36.35965
0,-215.68556
1,187.15123
0,36.421207
0,-216.07375
1,187.49677
0,36.499935
0,-216.61337
1,187.92433
0,36.53239
0,-216.17389
1,187.55524
0,36.477898
0,-217.06046
1,188.32985
0,36.62574
0,-229.80469
1,199.4699
0,38.910484
0,-229.96143
1,199.64038
0,38.987106
0,-230.27664
1,199.89667
0,39.00173
0,-230.0817
1,199.70181
0,38.93328
