test,training,validation
0.3353556990623474,0.33132633566856384,0.3266090750694275
0.30825212597846985,0.25677719712257385,0.24927489459514618
0.27192211151123047,0.2088780552148819,0.2065989077091217
0.22601881623268127,0.17217165231704712,0.1663886159658432
0.17942988872528076,0.13950303196907043,0.13851062953472137
0.1409333497285843,0.111680768430233,0.11387141048908234
0.11156752705574036,0.08830683678388596,0.07051213085651398
0.0884789228439331,0.06810002028942108,0.07342886179685593
0.0702543780207634,0.05097328871488571,0.05011696740984917
0.05682501196861267,0.037599168717861176,0.03722940385341644
0.04806360602378845,0.028298499062657356,0.02694064937531948
0.04301866143941879,0.02246410958468914,0.021632645279169083
0.04038630798459053,0.0190424807369709,0.01909111812710762
0.0390128530561924,0.016937101259827614,0.016897892579436302
0.038148023188114166,0.015316836535930634,0.01556482631713152
0.037429358810186386,0.013780536130070686,0.0129200154915452
0.03673851490020752,0.012306811287999153,0.011240341700613499
0.036099500954151154,0.011091625317931175,0.010596226900815964
0.035609159618616104,0.010373135097324848,0.008908982388675213
0.035347212105989456,0.010245367884635925,0.009980554692447186
0.03532419353723526,0.010606644675135612,0.010475069284439087
0.03547223284840584,0.011233589611947536,0.011326802894473076
0.03568664938211441,0.011883512139320374,0.011980492621660233
0.03587181493639946,0.012369426898658276,0.012180065736174583
0.035862598568201065,0.012572573497891426,0.013223047368228436
0.03560474514961243,0.012459378689527512,0.012064286507666111
0.035119958221912384,0.012075234204530716,0.012037202715873718
0.03454224020242691,0.011517413891851902,0.011325543746352196
0.033990051597356796,0.010864898562431335,0.011131925508379936
0.03350602462887764,0.01018967293202877,0.00925463903695345
0.03312261402606964,0.009555392898619175,0.00948554277420044
0.03279431536793709,0.00901849940419197,0.009015098214149475
0.03250925615429878,0.008592336438596249,0.008601823821663857
0.032249320298433304,0.008264514617621899,0.007780441548675299
0.03201857581734657,0.008016964420676231,0.00815496500581503
0.03184224292635918,0.007834876887500286,0.008016170933842659
0.031716641038656235,0.007691769395023584,0.007411228027194738
0.03162767365574837,0.0075610545463860035,0.008693065494298935
0.03156278282403946,0.007429656106978655,0.007419414818286896
0.031510259956121445,0.0073030730709433556,0.0071504185907542706
0.03146890923380852,0.007182769011706114,0.00687297061085701
0.03142743930220604,0.007070355582982302,0.007461697328835726
0.03137660399079323,0.006966573651880026,0.006746782921254635
0.03132837638258934,0.006882486864924431,0.008161899633705616
0.03130172938108444,0.0068281772546470165,0.007170500699430704
0.031298208981752396,0.006801827810704708,0.007758416701108217
0.031318433582782745,0.0067957560531795025,0.006478594150394201
0.03135596215724945,0.006807494442909956,0.006274796091020107
0.03140764683485031,0.00683386018499732,0.006697913631796837
0.03145037963986397,0.006866558454930782,0.0064463322050869465
0.031474318355321884,0.006896400824189186,0.007248635869473219
0.03148415684700012,0.006920709740370512,0.007335687056183815
0.03149570897221565,0.006937187630683184,0.006955720018595457
0.03150493651628494,0.00694354809820652,0.007307624444365501
0.0315120555460453,0.006940387189388275,0.00802396610379219
0.03151034191250801,0.006930083502084017,0.006934322416782379
0.031496062874794006,0.006914280354976654,0.005747269839048386
0.03147788718342781,0.00689611816778779,0.006828875746577978
0.031456757336854935,0.006877978332340717,0.006603567861020565
0.031434327363967896,0.006861507892608643,0.006864665076136589
0.03141497075557709,0.006847559008747339,0.00683806836605072
0.03139039874076843,0.006836313288658857,0.006945005152374506
0.03137544170022011,0.006826651748269796,0.007654048502445221
0.03136519715189934,0.00681802723556757,0.006675932556390762
0.0313546359539032,0.006809866987168789,0.007303870283067226
0.03134055808186531,0.006800739094614983,0.0076027316972613335
0.03132057562470436,0.006790063343942165,0.006933216005563736
0.03130415454506874,0.0067786043509840965,0.005931306630373001
0.031285177916288376,0.006766817066818476,0.006368785165250301
0.031273916363716125,0.006754382513463497,0.007151215337216854
0.031264886260032654,0.006742491852492094,0.006676546297967434
0.03125779703259468,0.006731920875608921,0.006159486714750528
0.03125476464629173,0.006723261903971434,0.006898569408804178
0.031245039775967598,0.006716275122016668,0.006807119585573673
0.031230011954903603,0.006711440160870552,0.007338172290474176
0.031220095232129097,0.006708337459713221,0.006497121881693602
0.031223107129335403,0.006705227307975292,0.006743123754858971
0.03123077191412449,0.006703642196953297,0.00595632940530777
0.031230377033352852,0.006702180951833725,0.006591324228793383
0.03121669963002205,0.00669929850846529,0.006127241533249617
0.031206484884023666,0.006696459371596575,0.006402283441275358
0.031196286901831627,0.006693236064165831,0.006758926901966333
0.03118765912950039,0.006689542438834906,0.006766031961888075
0.03118087723851204,0.006685607135295868,0.007281409576535225
0.03116685338318348,0.006682082545012236,0.006128761917352676
0.031163392588496208,0.006678009405732155,0.0063001192174851894
0.031161312013864517,0.006674224976450205,0.00661799032241106
0.031167233362793922,0.00667124567553401,0.005735550541430712
0.031163981184363365,0.006668054033070803,0.006925975438207388
0.031155403703451157,0.006664262618869543,0.006623786874115467
0.03113522008061409,0.006660252343863249,0.006285717245191336
0.03112347424030304,0.006656951736658812,0.006715150084346533
0.031121505424380302,0.006652383599430323,0.0057669938541948795
0.031127670779824257,0.00664743036031723,0.006469837389886379
0.031122280284762383,0.006642767693847418,0.007386023178696632
0.03111359290778637,0.006638085003942251,0.005784110631793737
0.03111409768462181,0.00663312803953886,0.006628537550568581
0.031116854399442673,0.006628449074923992,0.006170494481921196
0.031109221279621124,0.006623483262956142,0.005959884263575077
0.031107136979699135,0.0066188122145831585,0.006427541840821505
0.031107336282730103,0.006614353507757187,0.007274685427546501
0.031089764088392258,0.006609504576772451,0.006849291734397411
0.031082481145858765,0.006605020724236965,0.007291882764548063
0.03107992559671402,0.006600053980946541,0.007178586907684803
0.03107389062643051,0.0065951598808169365,0.005364352371543646
0.031074093654751778,0.0065898955799639225,0.006745594087988138
0.03107578493654728,0.006584960501641035,0.006255940534174442
0.03107026405632496,0.006579754874110222,0.006100983824580908
0.031068801879882812,0.006574812810868025,0.006082065869122744
0.03106042742729187,0.006569238379597664,0.006901506334543228
0.031038111075758934,0.006563552655279636,0.005740180611610413
0.03102266788482666,0.0065590497106313705,0.005529097747057676
0.031015727669000626,0.0065533737652003765,0.0056161736138165
0.031019428744912148,0.006546294782310724,0.007098337169736624
0.031022945418953896,0.00654037157073617,0.006391136907041073
0.031026970595121384,0.0065351626835763454,0.006075938232243061
0.031013039872050285,0.006527972407639027,0.007155128289014101
0.030988231301307678,0.006521393544971943,0.0057839383371174335
0.030968526378273964,0.006517074536532164,0.006642491091042757
0.030966565012931824,0.006508822087198496,0.0071261883713305
0.030979927629232407,0.006500387564301491,0.006580789107829332
0.0309861171990633,0.006494317203760147,0.00711089139804244
0.03097212128341198,0.00648592971265316,0.006375464610755444
0.030948344618082047,0.006477522663772106,0.006918653845787048
0.030945103615522385,0.006469277199357748,0.006485978607088327
0.030959775671362877,0.0064630755223333836,0.0069628567434847355
0.03094358555972576,0.006453479174524546,0.00688885198906064
0.030908575281500816,0.006444686092436314,0.006406861357390881
0.03088771365582943,0.006438779179006815,0.00613786606118083
0.030885426327586174,0.00642781937494874,0.006652285344898701
0.030906887724995613,0.006417316384613514,0.006252548657357693
0.030914658680558205,0.006410269532352686,0.0062018209137022495
0.03088976815342903,0.0063982331193983555,0.006085765082389116
0.03086111880838871,0.006387886591255665,0.006098166573792696
0.03083869256079197,0.006379947066307068,0.006179163698107004
0.030841266736388206,0.006368301343172789,0.006052203942090273
0.03084830567240715,0.006358715705573559,0.006487999577075243
0.030848782509565353,0.006350106559693813,0.007078948896378279
0.030825713649392128,0.006338818930089474,0.006301183719187975
0.030795661732554436,0.00632944842800498,0.00628517335280776
0.030777910724282265,0.006320950575172901,0.0062873181886971
0.030775103718042374,0.006309273652732372,0.005854935385286808
0.030781706795096397,0.006298297084867954,0.006530472543090582
0.030781619250774384,0.006288796663284302,0.005256124772131443
0.03076600655913353,0.006277877371758223,0.005559245590120554
0.03075086511671543,0.006267153657972813,0.006531506311148405
0.03073674626648426,0.006256681866943836,0.0062688360922038555
0.03071107342839241,0.006247375160455704,0.006889764219522476
0.030702657997608185,0.006236379500478506,0.0057963053695857525
0.03070496954023838,0.006224760785698891,0.006447479594498873
0.030714750289916992,0.006215715780854225,0.006871255114674568
0.030695436522364616,0.00620339997112751,0.006449353415518999
0.030672799795866013,0.006191030610352755,0.006952539086341858
0.030651284381747246,0.006179303862154484,0.006081889849156141
0.03063027560710907,0.006168188527226448,0.006710465531796217
0.030611202120780945,0.00615742988884449,0.005686411168426275
0.030606834217905998,0.006143908482044935,0.0056775519624352455
0.03061043471097946,0.006131396628916264,0.005623136181384325
0.030613798648118973,0.006120938342064619,0.0059484196826815605
0.030586963519454002,0.006106705870479345,0.006020228378474712
0.030554350465536118,0.0060943542048335075,0.006234277505427599
