section,lane,start_lat,start_lon,end_lat,end_lon
section_00_0,0,40.381462, -3.636357,40.384270, -3.633165
section_04_0,0,40.384270, -3.633165,40.387391, -3.640032
section_06_1,0,40.387391, -3.640032,40.388821, -3.639306
section_04_1,1,40.387391, -3.640032,40.389088, -3.639390
section_00_1,1,40.384270, -3.633165,40.387361, -3.640055
section_01_0,1,40.383557, -3.625803,40.384270, -3.633165
section_01_1,2,40.384270, -3.633165,40.384792, -3.633929
section_02_0,2,40.383022, -3.629869,40.383059, -3.630186
section_03_0,2,40.383589, -3.631777,40.383943, -3.632559
section_05_0,2,40.385494, -3.635610,40.385614, -3.635947
section_07_0,0,40.389088, -3.639390,40.390556, -3.642980
section_08_0,0,40.390556, -3.642980,40.387792, -3.645061
section_07_1,1,40.390556, -3.642980,40.385809, -3.636888
section_09_0,2,40.390556, -3.642980,40.389039, -3.644161
section_10_0,0,40.387792, -3.645061,40.385809, -3.636888
section_07_2,2,40.385809, -3.636888,40.385483, -3.635629
section_11_2,0,40.385809, -3.636888,
section_10_1,1,40.385809, -3.636888,
section_12_0,2,40.384743, -3.633983,40.384557, -3.633742

